key,value
primary,p
tertiary,t
residential,l
trunk,p
living_street,l
trunk_link,p
train,l
secondary,s
tertiary_link,t
motorway,p
service,s
unclassified,s
cycleway,l
footway,l
motorway_link,p
path,l
pedestrian,l
primary_link,p
corridor,p
secondary_link,s
track,l
steps,l
missing,l
,l
