Node ID,Is_Origin,Is_Destination,Origin_SA1,Origin_SA2,Destination_SA1,Destination_SA2,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight
99,0,0,0,0,0,0,collapsed_100_99_101,101,190.74618350145238,collapsed_77784_40723_99,40723,402.0654010668626,791813859_rev,89,238.73644759748163,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,0,0,0,0,0,4692566,102,76.23967220309343,199430179,5349,71.94293445051376,collapsed_100_99_101,99,190.74618350145238,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,0,0,0,0,0,4692566_rev,101,76.23967220309343,42919515_rev,5349,25.126800030285903,collapsed_110174_102_12629,12629,192.47504030843353,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,0,0,0,0,0,collapsed_104_103_5314,5314,84.80758544042465,4692569,105,71.16968761548573,collapsed_32937_32936_103,32936,265.5235260851386,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,0,0,0,0,0,4692569_rev,103,71.16968761548573,collapsed_73149_105_88076,88076,611.440572940937,1178670797,55026,12.174148434670998,1268873665,32783,32.534010680727434,,,,,,,,,,,,,,,,,,,,,,,,
107,0,0,0,0,0,0,collapsed_106_107_58841,58841,155.29391898393396,38942663_rev,32787,21.622773053049915,collapsed_36258_107_57670,57670,663.1486471017191,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,0,0,0,0,0,collapsed_73954_14521_108,14521,471.37147306726797,collapsed_141643_14173_108,14173,1544.440656009659,collapsed_189517_94187_108,94187,2363.719791620711,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,0,0,0,0,0,4692724,111,35.62659684594133,25607881_rev,14519,15.453527388769976,collapsed_74779_14516_110,14516,141.43385356270497,780625929_rev,14520,42.24800859581942,,,,,,,,,,,,,,,,,,,,,,,,
111,0,0,0,0,0,0,4692724_rev,110,35.62659684594133,25607885_rev,14520,59.12344166841564,collapsed_73955_58335_111,58335,644.4188139134105,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,0,0,0,0,0,collapsed_118_123_123,123,959.6860673308745,collapsed_118_123_123,123,959.6860673308745,collapsed_168538_80738_123,80738,248.5065169721545,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,0,0,0,0,0,collapsed_89576_28006_133,28006,615.8967703771307,786456385,93571,13.162582548571725,1055078338_rev,37815,57.14435596714614,,,,,,,,,,,,,,,,,,,,,,,,,,,
