ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700140,,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700142,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700146,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701211,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703979,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703987,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703991,,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704216,no,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707920,no,,,60,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709558,,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709559,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709561,yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709572,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709598,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709600,,,,60,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709620,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709621,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709626,no,,,,1,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709627,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709628,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709631,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709632,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709633,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709635,no,,,60,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709636,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709637,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709638,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709639,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709673,no,,,60,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712576,,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712590,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712592,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712629,no,,,70,5,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712630,no,,,60,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712631,no,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712632,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712633,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712634,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712635,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712636,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712637,,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716052,no,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716054,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716055,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716056,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716057,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716131,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716132,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716133,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720765,,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720780,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720792,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720803,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720805,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720830,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720831,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720833,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720835,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4729347,no,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734832,no,,,60,5,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734834,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734845,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742597,no,,,60,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742605,no,no,,70,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4742626,no,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745063,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745064,no,,,40,,asphalt,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745157,no,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745177,lane,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745190,lane,,,50,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745196,no,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745398,no,,,60,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4745432,no,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748064,,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748069,no,,,60,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
