method,origin_node,origin_sa1,destination_node,destination_dzn,path_number,nodes,links
link_elimination,2340394,20605113325,2334795,211341153,26,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2336087,2335888,2335926,2336027,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842752,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5702020,5702053,5702061,5702060,5701868,5701991,5701990,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,27,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842752,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,28,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925576,55925578,55925577,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842752,19842759,19842763,19842762,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,29,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925582,55925579,55925578,55925577,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2336087,2335888,2335926,2336027,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842817,19842820,19842819,19842763,19842762,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5702020,5702053,5702061,5702060,5701868,5701991,5701990,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,30,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925582,55925579,55925578,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2336087,2335888,2335926,2336027,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842817,19842820,19842819,19842759,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5702020,5702053,5702061,5702060,5701868,5701991,5701990,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,31,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925582,55925579,55925578,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842817,19842820,19842819,19842759,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,32,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925582,55925579,55925578,55925577,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842817,19842820,19842819,19842763,19842762,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,33,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925582,55925583,55925579,55925578,55925577,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2336419,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842817,19842816,19842818,19842819,19842763,19842762,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703040,5702428,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,34,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2337012,2336493,2336087,2336030,2335979,2335061,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842752,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703067,5703097,5703096,5702517,5702020,5702053,5702061,5701996,5701936,5701219,6303642,6303644,6289741,6289740,6291519,14297725,14297726,5701248"
link_elimination,2340394,20605113325,2334795,211341153,35,"2340394,2340311,2340120,49161158,2339523,49161157,16166237,16166236,2339082,55925580,55925576,55925575,2338516,2338140,15489037,15489039,2338401,2338062,2337731,2337488,2336960,2337012,2336493,2336087,2335888,2335926,2336027,2335231,2335295,35118142,2335360,2334795","5706901,5706945,5706850,17547603,17547604,5705968,5705833,11754744,5705707,19842751,19842752,5705261,5705063,5704831,5704726,11642194,11642193,11642192,5704703,5704306,5703932,5703655,5703067,5703097,5703096,5702517,5702060,5701868,5701991,5701990,6289741,6289740,6291519,14297725,14297726,5701248"
