New Link ID,Original Links
collapsed_39357933_2338578_2338653,5704936,5704990_rev
collapsed_2310264_41835989_2310281,5673669_rev,5673685
collapsed_41835994_2345917_2345654,15724209_rev,15724210
collapsed_39336691_39336690_15339620,11627538,11627539
collapsed_39336686_15339543_39336687,11627038,11627037_rev
collapsed_2323620_2323711_16141456,5688995_rev,5688939,5688938_rev
collapsed_2295011_2295290_54205039,5656323,19240795_rev
collapsed_15339547_39336687_2339843,11627036,5706334_rev
collapsed_39336682_15339423_39336683,11627577,11627576_rev
collapsed_41660463_2296979_41660467,15718247_rev,15718248
collapsed_39494892_15606399_56722516,15149814_rev,15149813
collapsed_39494893_2314743_39494895,12579952,12579953_rev
collapsed_39494895_2314743_17720444,12579952,12579953_rev,12579954_rev
collapsed_39494897_17720441_17720446,12579960,12579959_rev
collapsed_41633394_15747896_15747897,15708428,15708427_rev
collapsed_41526796_41526795_41526805,15689477_rev,15689479
collapsed_2292757_41540190_2292984,15692063,21907719_rev
collapsed_12535303_12535301_12535302,10107789_rev,10107792
collapsed_2285775_41535428_2285966,5646141_rev,5646353
collapsed_40009329_2290107_2289992,15153459_rev,15153460
collapsed_40009335_2290739_2292117,15153465_rev,15153466
collapsed_2315161_42600928_2315017,15795681,5679271_rev
collapsed_40010531_40010532_47078811,10096818_rev,16970461
collapsed_40010537_2287150_2287742,5647644_rev,5648271_rev
collapsed_40048864_2304962_53526561,15169087_rev,18962772
collapsed_39999206_39999207_2318174,15150095,15150096_rev
collapsed_39999207_2318174_2318218,15150095,15150096_rev,5682630
collapsed_40009809_2324757_55925538,5690407,15153924
collapsed_40009367_2344663_2344215,15153478_rev,15153479
collapsed_40009342_2321750_2322245,15153475_rev,15153476
collapsed_40009369_40009368_66300755,15153495_rev,22464497_rev
collapsed_2293391_72688446_2293447,15219899_rev,5654343
collapsed_40003948_46255908_46255909,15152724,16761243_rev
collapsed_40010101_19055104_52820803,5666763,5666567_rev,14958594_rev
collapsed_40017563_2283904_35060435,15155041_rev,15155042
collapsed_39345950_39345949_44247869,15134379_rev,16276954
collapsed_2294919_2294837_2295010,5655931,5656027_rev
collapsed_2288522_2288621_2288248,5649215,5649108_rev
collapsed_2283613_2283623_46165941,5643816,16752541_rev
collapsed_2281145_2281051_2281193,5641209_rev,5641260
collapsed_40274325_2298224_2298791,15219885_rev,15219886
collapsed_41277144_2298749_2299124,15570168,15570167_rev
collapsed_14909044_41277148_70200583,15570170,11530385_rev
collapsed_41277148_70200583_2299366,15570170,11530385_rev,15570171
collapsed_41277142_2287639_13177778,15570180_rev,15570181
collapsed_41277227_2337272_41277226,5703398,15570159
collapsed_41277226_2337272_41277223,5703398,15570159,15570161
collapsed_30488856_2309819_2310000,13857843_rev,13857844
collapsed_38308708_39345945_16379352,15134147,14945331
collapsed_2331823_2331863_56720264,5697564,5697535
collapsed_42600908_2307132_2306965,5670081,5670080_rev
collapsed_2308279_2307493_2308569,5671333_rev,5671664
collapsed_41188878_41188881_2309634,15515394,15514793_rev
collapsed_41188734_41188723_2306559,15515057,15514861_rev
collapsed_41188723_2306559_2305993,15515057,15514861_rev,15515562
collapsed_41188722_35936562_2306123,15515059,15515058_rev
collapsed_41188567_2303481_2303142,15515106_rev,15515107
collapsed_41188540_2302491_57498530,15515126_rev,15515725
collapsed_41188532_2301836_2302473,15515128_rev,15515129
collapsed_2302473_2301836_41188545,15515128_rev,15515129,15515123
collapsed_2301549_41188512_41188521,15515131,15515743_rev
collapsed_37724507_41188554_41188596,15515680,15515678
collapsed_41188554_41188596_37724506,15515680,15515678,15515681
collapsed_2316952_41226435_2317031,15539507,5681311
collapsed_41226435_2317031_2316874,15539507,5681311,15539508
collapsed_41189041_2313888_2314004,15514974_rev,15514975
collapsed_41188858_2309235_15606442,15515030_rev,15515031
collapsed_41188843_2309118_2308579,15515032_rev,15515033
collapsed_41188827_2308662_2308561,15515034_rev,15515035
collapsed_41188658_2304771_41188657,15515630_rev,15515631
collapsed_41188663_2305034_57498566,15515633,15515634_rev
collapsed_41188592_2303632_2303710,15515686_rev,15515687
collapsed_41188961_41188969_2311191,15515003,15515002_rev
collapsed_41188969_2311191_2311364,15515003,15515002_rev,15514998
collapsed_41189027_2313602_2313189,15514978_rev,15514979
collapsed_41189020_2313230_71902128,15514980_rev,20230887
collapsed_41189019_2313036_57773623,15514982_rev,15514983
collapsed_41188978_41188975_2311637,15514992_rev,15514993
collapsed_41188432_2289431_57498477,15514957_rev,15515844,15515843_rev
collapsed_41188475_41188483_41188474,15514938,15514939_rev
collapsed_2300487_41188477_2301098,15514940,5662966
collapsed_41188477_2301098_2299706,15514940,5662966,15514941
collapsed_2299706_2301098_2299803,15514940,5662966,15514941,5661430_rev
collapsed_41188443_2290417_46335563,15514955,15514954_rev
collapsed_41188643_2304636_2304697,15515602,15515604_rev
collapsed_2285570_41857637_2285611,15725722_rev,5645965_rev
collapsed_41189060_2314503_41189058,15514967,15515196_rev
collapsed_41189059_2314474_71902137,15514969,20230904_rev
collapsed_2314474_71902137_2314480,15514969,20230904_rev,5678508
collapsed_41188487_2300445_2300388,15514929_rev,15514930
collapsed_2300335_41188485_2300677,15514932_rev,5662486_rev
collapsed_41188753_2306819_2307336,15515519,11535484_rev,15515520
collapsed_41188636_2304430_2304353,15514894,15514893_rev
collapsed_41188751_2306880_2307430,15515530,15515529_rev
collapsed_41188785_2308237_2307749,15514836,15514835_rev
collapsed_41188727_2306008_2306339,15514863_rev,15514864
collapsed_41188717_2306060_2306008,15514866,15514865_rev
collapsed_41188832_2308614_2308824,15515433_rev,15515434
collapsed_41188797_2307883_2308177,15515476_rev,15515477
collapsed_41188771_2306971_2307916,15515495,15515494_rev
collapsed_41188820_2308429_2308614,15515435_rev,15515436
collapsed_41188782_2307704_2308614,15515437_rev,15515438
collapsed_2308512_41188824_2308959,15515451_rev,5672152
collapsed_41188860_2309271_41188876,15515406,15515407_rev
collapsed_41188806_2308123_41188799,15514829,15515475
collapsed_41188867_2309396_41188881,5672733_rev,15515396
collapsed_41188853_2309130_2309202,15515397_rev,15515398
collapsed_41188862_2309351_2309398,15515399_rev,15515400
collapsed_2309398_2309351_2309202,15515399_rev,15515400,5672662
collapsed_41188938_2310790_2310837,15514772_rev,15514773
collapsed_41188927_2310249_2311238,15514776_rev,15514777
collapsed_2311742_41188988_41188997,15514744_rev,5675385
collapsed_2312243_41188983_2312317,15514747,5675997_rev
collapsed_41188983_2312317_2311303,15514747,5675997_rev,15514748
collapsed_41188981_41188993_41188979,15514749_rev,15514750_rev
collapsed_12500424_41188974_12500425,15514751,10089112_rev
collapsed_41188968_2311125_41188974,15514754,15514755_rev
collapsed_41188954_12500421_2310971,11653933_rev,5675649_rev,15514762_rev,15514761_rev
collapsed_41188904_2310159_7741820,15515334_rev,15515335
collapsed_41189083_2315472_41189087,15514705_rev,15514706
collapsed_41189038_2313763_2313816,15514729_rev,15514730
collapsed_41189026_35197691_2314004,15514732_rev,15515231
collapsed_41189022_2313086_41189029,15514733_rev,15514734
collapsed_41188885_2309708_2309839,15515349_rev,15515350
collapsed_41188945_15545234_2310547,15515302_rev,15515303
collapsed_41189004_41188994_41188997,15515249,15515253_rev
collapsed_41189005_41188996_41189007,15515251_rev,15515254_rev
collapsed_41189000_35937106_57498629,15515257,15515256_rev
collapsed_41188977_41188989_41188979,15515267_rev,15515266
collapsed_41188719_2306402_41188705,5669158_rev,15515578_rev
collapsed_41189024_2313352_2313033,15515229_rev,15515230
collapsed_41189046_2314029_2314079,15515220_rev,15515221
collapsed_41189040_2313770_2313947,15515223_rev,15515224
collapsed_41189009_2312443_2312396,15515240,15514987_rev
collapsed_2312443_2312396_41189011,15515240,15514987_rev,15515241
collapsed_41189011_2312396_2312571,15515240,15514987_rev,15515241,15515242
collapsed_41189061_2314503_2314545,15515195_rev,15514718
collapsed_41189058_2314503_2314426,15514967,15515196_rev,15514970_rev
collapsed_41189069_2314705_2314812,15515206_rev,15515207
collapsed_41188490_2300483_41188493,15515779_rev,15515780
collapsed_41188689_41188690_72680818,15515169_rev,15515064
collapsed_2315113_41189077_2315076,15515144,5679211
collapsed_41189047_2314084_2314124,15515146_rev,15515147
collapsed_2314124_2314084_71902134,15515146_rev,15515147,20230916
collapsed_41188527_2300445_2302338,15515739,15515738_rev
collapsed_2302111_41188531_51343117,15515736,18414540_rev
collapsed_41188531_51343117_2302490,15515736,18414540_rev,15515737
collapsed_41188521_41188512_2301945,15515131,15515743_rev,15515742_rev
collapsed_41188536_2302325_2301839,15515730_rev,20183753
collapsed_41226428_2287111_48204851,15539517_rev,17256626
collapsed_39389707_39389705_39389708,15142720,15142718
collapsed_40014748_52884420_40014750,15154458_rev,15154460_rev
collapsed_2309634_41188881_2309396,15515394,15514793_rev,5672926
collapsed_38382154_41227121_38382155,15539598,14955586
collapsed_42873663_2326887_2326650,15821593,15821592_rev
collapsed_2326887_2326650_2327099,15821593,15821592_rev,5692720
collapsed_43104319_43104318_2331897,5697645_rev,5697964
collapsed_15339351_43104318_45130799,6289709_rev,11627107
collapsed_43014700_2319923_7700037,15886388_rev,15886389
collapsed_35269417_43076459_56722666,15921660_rev,14310740
collapsed_35269393_43076459_45130580,14310556,14310723_rev
collapsed_42600971_2324940_42600972,5690326,15795748
collapsed_42600977_42600980_66402680,15795799,15795797_rev
collapsed_35092287_2297352_45162310,14294887,14294886_rev
collapsed_2297352_45162310_45130247,14294887,14294886_rev,5658855_rev
collapsed_42600963_2322753_2323181,15795663_rev,15795664
collapsed_42600992_2334581_2333515,15795665,5699699_rev,15795666
collapsed_42600982_2332311_2331805,6305100_rev,6305082_rev
collapsed_2300918_19391313_2301045,13403131,5662900_rev
collapsed_42710354_35077332_56722539,15820732_rev,15820733
collapsed_2312270_43754855_45130420,16218044,6258358_rev
collapsed_15596763_43700009_38402153,16207187,11664461_rev
collapsed_43678821_16240759_15742829,16205680,16205679_rev
collapsed_43447963_2343057_2343958,16079563_rev,16079564
collapsed_12854849_43809841_2301378,5663229_rev,5663274
collapsed_43809855_15417973_12408763,11632418,5665356_rev
collapsed_2298654_43809827_45130263,5660230_rev,5660321
collapsed_43809842_43809841_43809843,5663563,5663988
collapsed_12408763_15417973_45130303,11632418,5665356_rev,5665179_rev
collapsed_12408762_43809845_45130297,5664657,5664837
collapsed_2299352_43809839_54205990,5661115,19240786_rev
collapsed_43913260_43913262_43913259,11627056_rev,5700610_rev
collapsed_43913056_43913061_43913054,16231702,10128127_rev
collapsed_43913063_43913068_45130498,16231689_rev,16231690
collapsed_43832568_43832567_43832569,16226714,16226719_rev
collapsed_43832567_43832569_2325907,16226714,16226719_rev,16226715
collapsed_15745486_43859480_35077309,11736375_rev,11736379_rev
collapsed_43912575_43912576_43912574,16231598,16231599_rev
collapsed_43912571_43912570_43912572,16231595,16231596_rev
collapsed_43912578_43912577_43912579,16231602,16231603_rev
collapsed_70479910_70479899_70479918,23429489,23429531_rev
collapsed_70479899_70479918_70479890,23429489,23429531_rev,23429490
collapsed_70479890_70479918_70479894,23429489,23429531_rev,23429490,23429492
collapsed_70479942_70479935_70479969,23429493,23429496_rev
collapsed_70479935_70479969_70479925,23429493,23429496_rev,23429494
collapsed_70479925_70479969_70479918,23429493,23429496_rev,23429494,23429532
collapsed_70479918_70479894_70479969,23429489,23429531_rev,23429490,23429492,23429493,23429496_rev,23429494,23429532
collapsed_43678827_43678828_16240766,16205671_rev,11770985
collapsed_43678830_43678829_43678831,16205675_rev,16205676
collapsed_43678831_43678829_15634101,16205675_rev,16205676,11679654_rev
collapsed_43801142_2312732_2312826,16222228_rev,16222229
collapsed_2312826_2312732_2312877,16222228_rev,16222229,5676645
collapsed_15596796_43799157_45162553,6289793,6289792_rev
collapsed_43913120_43913118_43913121,16231639_rev,16231640
collapsed_43913125_43913124_43913126,16231641_rev,16231644
collapsed_43913119_43913124_43913118,16231643,16231638_rev
collapsed_43769364_2314362_43769363,5678368,5677939_rev
collapsed_43913107_43913110_45130624,16231633,16231671_rev
collapsed_43913110_45130624_43913113,16231633,16231671_rev,16231636
collapsed_43913113_45130624_43913118,16231633,16231671_rev,16231636,16231637
collapsed_12325285_43913137_2321487,10024855,10024854_rev
collapsed_7741856_7741857_2344875,6305974,6306060_rev
collapsed_7741857_2344875_2346149,6305974,6306060_rev,6304294
collapsed_2315702_2316036_2314919,5680224,5679859_rev
collapsed_2323415_2323325_2323855,5688644_rev,5689147
collapsed_13018465_13018467_13018464,10357713_rev,10357712
collapsed_13018466_13018464_13018469,10357738_rev,10357739
collapsed_13018444_13018446_13018442,10357730_rev,10357731
collapsed_13018450_13018448_13018449,10357732_rev,10357733
collapsed_2327804_2328096_2327561,6301794,6301793_rev
collapsed_2327561_2328096_2327592,6301794,6301793_rev,5693241_rev
collapsed_13018434_13018435_13018433,10357674_rev,10357672
collapsed_13018440_13018438_13018441,10357722_rev,10357723
collapsed_13018495_13018497_13018494,10357628_rev,10357629
collapsed_2272548_2272518_2272719,5632344,5632503
collapsed_2272518_2272719_2272398,5632344,5632503,5632313
collapsed_35077321_15745544_2306442,5669589,5669332_rev
collapsed_7714033_7714032_7714036,6300145_rev,6300147_rev
collapsed_13018452_13018451_13018453,10357734_rev,10357735
collapsed_2298302_13098478_45130256,11669282_rev,5659854
collapsed_2296136_15634048_15634056,11679578,11679621_rev
collapsed_15634018_15634020_46335580,6289426,10094957_rev
collapsed_43104324_18399156_45130801,13164174_rev,11627703
collapsed_43104317_43104316_45130795,11653090,11627702_rev
collapsed_2351997_2351899_2352256,5719452,5719684_rev
collapsed_2352428_2352317_2352405,5719869_rev,5719870_rev
collapsed_2345130_2344799_2345446,5712123,5712470_rev
collapsed_2314773_2315242_2314543,5679363_rev,5678834
collapsed_41188609_2304019_2303958,15515704,15515703_rev
collapsed_41188518_2301680_2301581,15515749,15515748_rev
collapsed_2301680_2301581_2302496,15515749,15515748_rev,5664543
collapsed_2277843_2277894_2277837,5637821,5637770_rev
collapsed_2277523_2277954_2277675,5637883,5637587
collapsed_16586613_2322387_2322600,11835549,11835550_rev
collapsed_2352182_2352317_2352108,5719743,5719617_rev
collapsed_15339230_15339228_15339231,5649853,5650162_rev
collapsed_15339244_15339242_15339247,5654015,5654331,5654489_rev
collapsed_15339490_15339499_15339484,5702640,5702048_rev
collapsed_15339393_15339403_43104326,5698889,11627113_rev
collapsed_15339479_15339474_15339484,5701125_rev,5701430
collapsed_2329542_2329469_2329689,5695203_rev,5695336
collapsed_2331834_15339339_2331897,5697543,16726838_rev
collapsed_39156668_15614944_45162324,6291337_rev,6291336_rev
collapsed_2309930_2310023_2309836,5673375,5673266,5673258
collapsed_39364052_2299164_45162327,5660685_rev,11669175
collapsed_39364050_13018467_62714573,10357654_rev,10357655
collapsed_2323855_2323325_2324193,5688644_rev,5689147,5689517_rev
collapsed_2323916_2323873_2323961,5689215,5689266_rev
collapsed_2324193_2323325_2324296,5688644_rev,5689147,5689517_rev,5689630_rev
collapsed_2334656_2334670_2334519,5700523,5700510_rev
collapsed_2327644_2327547_2328048,5693297,5693696_rev
collapsed_2306685_2306701_2306572,5669494,5669468
collapsed_2324296_2324978_2323325,5690371_rev,5688644_rev,5689147,5689517_rev,5689630_rev
collapsed_2322515_2322715_2322064,5687837,5687611_rev
collapsed_2322715_2322064_2323325,5687837,5687611_rev,5688537
collapsed_13018462_13018464_62714572,10357708,5642721_rev
collapsed_44022486_44022365_44022485,16253004_rev,16253027
collapsed_2306314_2306121_2306400,5669042_rev,5669155
collapsed_2324385_2324531_2324250,5689851_rev,5689713
collapsed_2295596_2295347_2295751,5656640,5656826_rev
collapsed_13018454_13018451_65976619,5639910_rev,14293012
collapsed_2352108_2352317_2353050,5719743,5719617_rev,13490557_rev,13490558
collapsed_15540832_62361273_15540833,5699687,5699560_rev,11653992_rev
collapsed_41188737_2306673_2306611,15515560,5669435_rev
collapsed_2326214_2326159_2326542,5691757_rev,11754086,11754085_rev,5692093_rev
collapsed_2278242_2278151_2279097,6242696,6242695,12012162_rev
collapsed_7741873_2358390_70690374,6304602_rev,6304282
collapsed_2321446_2321409_2321442,5686342,5686355_rev
collapsed_39332135_39332134_39332136,13272216_rev,13272217
collapsed_2302417_2302398_2302436,5664458_rev,5664483
collapsed_41188479_2300216_57498506,15514935,15514936_rev
collapsed_2303142_2303481_15545185,15515106_rev,15515107,11654703_rev,5665394
collapsed_7741868_2357022_13104928,6304293_rev,6304615,6304286_rev,6304614_rev
collapsed_7741883_2360482_65740955,6304275,6304596,6304269_rev,5728261,6304595
collapsed_2322053_2321933_2322243,5687067,5687293_rev
collapsed_2323114_2323083_2323125,5688298_rev,5688314
collapsed_2327773_2327770_2327112,5693437,5693436
collapsed_2327770_2327112_2327740,5693437,5693436,5693433
collapsed_2325884_2326035_18400197,5691544,6241047
collapsed_18843055_2343682_2343593,5711047_rev,5711046_rev
collapsed_39160280_39160279_52905354,6289322,6306845_rev
collapsed_2311990_2312311_2311749,5675986,5675625_rev
collapsed_2311402_2311234_2311616,5674958_rev,5675184
collapsed_2340459_2340421_2340153,5707017,5707016
collapsed_44849336_39156686_2304415,16627771,16627770_rev
collapsed_2324602_2323811_2324286,5689933,5689941
collapsed_2334908_15339448_2335146,11627059_rev,5701023
collapsed_2296408_12516264_2296496,10095934_rev,5657676
collapsed_2306993_2307179_2306815,5670045_rev,5669835
collapsed_2307389_2307426_2307238,5670318,5670274_rev
collapsed_2307426_2307238_2307864,5670318,5670274_rev,5670828
collapsed_2300441_2300277_2300344,5662205,5662204
collapsed_2300277_2300344_2300200,5662205,5662204,5662013
collapsed_7699960_2308053_45130367,6289516,6289515_rev
collapsed_2331910_2331877_2331028,5697609,5697608_rev
collapsed_2312503_2312334_2312932,5676208,5676709_rev
collapsed_2332269_2331912_2332383,5697977_rev,5698092_rev
collapsed_2335396_2335281_2335282,5701283_rev,5701284
collapsed_2336085_2336433_2335507,5702449_rev,5702162,5702058
collapsed_12517941_57854287_65709369,10096864,10096865_rev
collapsed_2311808_2312176_2311694,6304136_rev,5675406
collapsed_2338009_15602128_45162511,5704532,5704246_rev
collapsed_35092317_2304412_54287253,5666827_rev,5666776
collapsed_2305379_2305437_2305332,5668029,5667968
collapsed_15545195_15545198_15545193,11654706_rev,11654707
collapsed_2302048_2302269_55255037,5664294,19570126_rev
collapsed_2334302_2334407_72135665,5700230_rev,5700264
collapsed_2319831_2319628_2320097,5684528_rev,5684839
collapsed_2325552_2326054_2325340,5691567_rev,5691009_rev
collapsed_2300176_2300518_2300008,5662294,5661884_rev
collapsed_2309014_15606442_57498591,5672494_rev,5672216
collapsed_2338799_2337985_15602134,5705163,5705320
collapsed_2291281_2291734_2290973,5652529,5652044
collapsed_2292236_2292341_2292160,5653176,5653073_rev
collapsed_39157636_39157635_16235444,14310575_rev,11815531,14310574,14310729_rev,6273562
collapsed_43809854_15417972_15417973,16223131,16223130_rev
collapsed_44217144_44217145_57498559,16272897,16272898_rev
collapsed_43913117_43913121_63332507,14310641_rev,14310640
collapsed_15606530_43913057_45130498,5681117,16231692_rev
collapsed_2320911_2320855_2320239,5685738_rev,5685737
collapsed_35058368_35058366_70479921,14292911,23429342_rev
collapsed_2291122_2290627_15614910,5651866_rev,5651910
collapsed_2321433_2321589_2321250,5686497,5686331_rev
collapsed_2274572_2274643_2274544,5634477,5634405_rev
collapsed_2274643_2274544_2274667,5634477,5634405_rev,5634499
collapsed_2274709_2274660_2274835,5634543,5634683_rev
collapsed_44231578_44231579_44231576,16274288,16274262
collapsed_2306201_2306176_2306269,5668918_rev,5668992_rev
collapsed_35090465_2306366_2306761,5669341_rev,5669557
collapsed_2302182_2302269_2303313,5664295,5665541
collapsed_44231576_44231579_44231579,16274261,16274288,16274262
collapsed_2311931_2310889_2312240,5675556,5675900_rev
collapsed_44232248_2280027_45162250,5640054,10131327_rev
collapsed_2333351_2333078_62361273,5699100,5699210_rev
collapsed_44142045_45536696_44142043,16670000_rev,16262605_rev
collapsed_2306910_2306924_2306998,5669747,5669840
collapsed_2306924_2306998_2306998,5669747,5669840,5669839_rev
collapsed_2307318_2307247_2307549,5670198_rev,5670458
collapsed_12577907_12577903_45130544,10128192,10128193_rev
collapsed_12577903_45130544_13100283,10128192,10128193_rev,10128186
collapsed_2305173_2305274_2305118,5667828,5667717_rev
collapsed_2305274_2305118_2305763,5667828,5667717_rev,10418967,5668068_rev,10418968
collapsed_15418012_15418010_15418014,11632519,11632518_rev
collapsed_44141669_44141670_2328779,16262540,16662245_rev
collapsed_44141672_44141670_44141673,16262543_rev,16262542
collapsed_44141670_44141673_2328779,16262543_rev,16262542,16262540,16662245_rev
collapsed_2302025_2302464_2303083,5664514,5664071_rev,5665260
collapsed_2279605_2279503_2279938,5639599_rev,5639960
collapsed_18818387_18818386_18808597,13269199,13269194_rev
collapsed_19378036_15493142_62102910,13398751_rev,13398752
collapsed_13177784_2287072_2287036,5647553,5647529_rev
collapsed_15425089_46335584_46335605,11737375,14294698_rev,11737376,11633786
collapsed_2292620_2292438_2292712,5653472,5653562
collapsed_39097548_39097542_39097547,15066994,15066991_rev
collapsed_2300709_2300761_2300575,5662581_rev,5662525
collapsed_2299952_2299812_2299768,5661612,5661611
collapsed_2327632_2327655_2327606,5693306,5693286
collapsed_2327497_2327721_2326867,5693383,5692947,5692747_rev,5693141
collapsed_2327821_2327954_2327577,5693609_rev,5693474
collapsed_2328284_2328257_2328310,5693942,5693969_rev
collapsed_2328305_2328628_2327968,5694267,5693964_rev
collapsed_2328505_2328614_2328278,5694256,5694154
collapsed_2328753_2329353_2328590,5695025,5694404_rev
collapsed_2329185_2329425_2328444,5695095,5694846_rev
collapsed_2279179_2279136_39156559,5639141_rev,5639140
collapsed_2275716_2275799_2275699,5635689_rev,5635599
collapsed_2276554_2276893_2276539,5636798,5636448_rev
collapsed_15602048_15602050_56720201,11666226_rev,19923468_rev
collapsed_15602111_15602109_66241709,11666247_rev,11666249
collapsed_15215031_2325394_2325569,5690887_rev,5691027,5690923_rev
collapsed_2326301_2326424_2326463,5692003,5692056_rev
collapsed_2314576_2314600_2315056,5678642,5679153_rev
collapsed_2314884_2315010_2314848,5679098,5678954_rev
collapsed_2315010_2314848_2315156,5679098,5678954_rev,5679265
collapsed_14945189_15634107_14945198,11679650,5661570
collapsed_2325889_2325723_2326315,5691378,5691878_rev
collapsed_2326524_2326211_2326730,5692124,5692334_rev
collapsed_2327053_2327070_2327004,5692689,5692675_rev
collapsed_2327070_2327004_59761209,5692689,5692675_rev,5692729
collapsed_2324105_2324110_2324100,5689431,5689425_rev
collapsed_2324110_2324100_2324115,5689431,5689425_rev,5689440
collapsed_2326264_2326348_2326095,5691921,5691718_rev
collapsed_2326348_2326095_2326621,5691921,5691718_rev,5692225
collapsed_2338190_2337507_2338132,5704461_rev,5704462_rev
collapsed_15138432_2327694_13098563,11580865_rev,11580867,11580866
collapsed_2311368_2311485_58011094,5675047,5674914
collapsed_2279458_2279417_2280347,5639441_rev,5640382
collapsed_2310076_2310109_2310066,5673491_rev,5673452
collapsed_2311610_2311506_2311749,5675178,5675340_rev
collapsed_2311555_2311616_30379822,5675185,13832202_rev
collapsed_2311285_2311870_2311236,5675485_rev,5674826
collapsed_2311705_2311669_66402640,5675289_rev,19235894
collapsed_36089188_2295656_36089194,14503048_rev,14503086
collapsed_2325672_2325588_2326026,5691143,5691533
collapsed_12855340_12380227_2317053,5681399,5681387_rev,6258038,5681358,5681350_rev,5681376
collapsed_2311980_2311872_2312153,5675613,5675801_rev
collapsed_2311872_2312153_2311754,5675613,5675801_rev,5675489
collapsed_2312386_2312441_2312363,5676136_rev,5676076
collapsed_2323759_2323826_2323659,5689116,5689048_rev
collapsed_2324395_2324291_2324437,5689724_rev,5689757
collapsed_2324312_2324285_2324344,5689649,5689681_rev
collapsed_2324321_2324353_2324291,5689690,5689656_rev
collapsed_2324415_2324509_56720218,5689829,19923482
collapsed_2324437_2324589_2324291,5689920,5689724_rev,5689757
collapsed_2324585_2324642_2324514,5689980,5689836_rev,5689912
collapsed_2324642_2324514_2324726,5689980,5689836_rev,5689912,5690085
collapsed_2282090_2282160_2282061,5642275,5642199
collapsed_2282160_2282061_2282207,5642275,5642199,5642330
collapsed_2282287_2281831_2282787,5642404,21091941_rev
collapsed_2281831_2282787_54168664,5642404,21091941_rev,19233327_rev
collapsed_2319828_39157649_39364350,6289604_rev,5684911
collapsed_2311556_39158607_2311744,15068120_rev,5675334
collapsed_44927612_18845622_44927611,16634009,16634008_rev
collapsed_18845622_44927611_35090478,16634009,16634008_rev,13272213_rev
collapsed_2321002_2321258_2320506,5686135_rev,5685854
collapsed_44927624_18767109_44231588,16274114_rev,16274269
collapsed_44927623_18767094_18767096,13254083_rev,13254081,13254097_rev
collapsed_2321060_2320952_2321572,5685921,5686486_rev
collapsed_2320952_2321572_2320799,5685921,5686486_rev,5685788
collapsed_2320916_2321507_2320949,5686415_rev,5685784
collapsed_2322419_2322648_2321941,5687754,5687498_rev
collapsed_2322648_2321941_2323193,5687754,5687498_rev,5688391_rev
collapsed_2281926_2281869_2281982,5642025_rev,5642088
collapsed_2291166_2291137_2291205,5651915_rev,5651952
collapsed_2308961_2308903_2309023,5672155,5672224_rev
collapsed_12500459_44927618_12500461,13254173_rev,10089170
collapsed_15425020_44927597_45130374,11633781,11633782_rev
collapsed_44884761_44884759_2315810,16630081_rev,5679989_rev
collapsed_2274737_2274779_2274690,5634615,5634571_rev
collapsed_2274779_2274690_2274821,5634615,5634571_rev,5634660
collapsed_2332233_2332258_2332215,5697967_rev,5697937
collapsed_2323931_48204915_2323894,17256716,5689234_rev
collapsed_2337543_2337722_2337130,5703923,5703725_rev
collapsed_2276545_2276533_2276552,5636438_rev,5636445
collapsed_2539347_2327954_2328451,6256024_rev,6256028
collapsed_7700020_2318172_7700019,6289597,6291509_rev
collapsed_7700103_2331777_2331807,6289704,6289703_rev
collapsed_43076419_2307152_62505545,5670013_rev,21647104
collapsed_2275951_12039696_12039695,9967144_rev,5636405_rev,9967142_rev
collapsed_41188752_41188744_41188748,15515526_rev,15515527_rev
collapsed_44886965_44886966_41188766,15929111,5670416
collapsed_2276613_2276627_2276599,5636517,5636502_rev
collapsed_2279019_2278545_2278982,5638976,5638977_rev
collapsed_12526967_2318030_15462050,5682752,11635480
collapsed_2317997_2318018_2317241,5682398,18434877_rev
collapsed_2327050_2327255_2326876,5692888_rev,5692673
collapsed_2324576_2324508_2324709,5689906,5690065
collapsed_2324717_2324921_2324589,5690299,5690075_rev
collapsed_35077325_15745548_35077324,11778325,11778324_rev
collapsed_35118078_2315331_2315660,6273540,6273539_rev,5679790_rev,5679802_rev
collapsed_2278464_2278430_2278487,5638408,5638439_rev
collapsed_2328826_2328708_2329054,5694483,5694730_rev
collapsed_2327124_2327386_2327367,5693014_rev,5692995
collapsed_2328336_2328292_2328375,5693994,5694029
collapsed_2324418_2324288_2324507,5689745_rev,5689825
collapsed_2324084_2323932_2324423,5689401,5689750_rev
collapsed_2323932_2324423_2323749,5689401,5689750_rev,5689236
collapsed_2325020_57753014_62695253,5690509,21660944_rev
collapsed_2325201_2325153_2325219,5690619,5690638_rev
collapsed_2325153_2325219_2325129,5690619,5690638_rev,5690565
collapsed_2300029_2300048_2299982,5661724,5661701_rev
collapsed_35113958_2327420_16442331,5693048,11833785_rev
collapsed_2330063_2330103_2329594,5695750_rev,5695705
collapsed_2326242_2326424_2326073,5692002,5691792_rev
collapsed_2332204_2332158_2332331,5697909_rev,5698035
collapsed_44247867_2297176_2297237,16276957_rev,16276958
collapsed_44247869_39345949_44247868,15134379_rev,16276954,16276956
collapsed_40010720_2326135_2325532,15154114_rev,15154115
collapsed_2273412_2273546_2273244,5633378_rev,5633241
collapsed_44267936_2334797_2335774,11664338_rev,5701686
